p_match;inns;bat;p_bat;team_bat;bowl;p_bowl;team_bowl;ball;outcome;score;out;dismissal;over;date;year;ground;country;winner;toss;bat_hand;bowl_style;bowl_kind;batruns;ballfaced;bowlruns;bat_out;wagonX;wagonY;wagonZone
1175364;2;KL Rahul;422108;Punjab Kings;Lasith Malinga;49758;Mumbai Indians;6;four;4;FALSE;;16;30/03/2019;2019;Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh;India;Kings XI Punjab;Kings XI Punjab;RHB;RF;pace bowler;4;1;4;TRUE;218;6;1
1181764;1;Ambati Rayudu;33141;Chennai Super Kings;Lasith Malinga;49758;Mumbai Indians;5;four;4;FALSE;;11;07/05/2019;2019;MA Chidambaram Stadium, Chepauk, Chennai;India;Mumbai Indians;Chennai Super Kings;RHB;RF;pace bowler;4;1;4;TRUE;211;9;1
1178426;2;Manish Pandey;290630;Sunrisers Hyderabad;Lasith Malinga;49758;Mumbai Indians;2;four;4;FALSE;;5;02/05/2019;2019;Wankhede Stadium, Mumbai;India;-;Mumbai Indians;RHB;RF;pace bowler;4;1;4;TRUE;331;297;3
1178426;2;Manish Pandey;290630;Sunrisers Hyderabad;Lasith Malinga;49758;Mumbai Indians;4;six;6;FALSE;;5;02/05/2019;2019;Wankhede Stadium, Mumbai;India;-;Mumbai Indians;RHB;RF;pace bowler;6;1;6;TRUE;142;2;8
1178426;2;Manish Pandey;290630;Sunrisers Hyderabad;Lasith Malinga;49758;Mumbai Indians;5;four;4;FALSE;;5;02/05/2019;2019;Wankhede Stadium, Mumbai;India;-;Mumbai Indians;RHB;RF;pace bowler;4;1;4;TRUE;259;13;1
1178426;2;Manish Pandey;290630;Sunrisers Hyderabad;Lasith Malinga;49758;Mumbai Indians;6;four;4;FALSE;;16;02/05/2019;2019;Wankhede Stadium, Mumbai;India;-;Mumbai Indians;RHB;RF;pace bowler;4;1;4;TRUE;174;362;5
1175370;2;Kedar Jadhav;290716;Chennai Super Kings;Lasith Malinga;49758;Mumbai Indians;4;six;6;FALSE;;4;03/04/2019;2019;Wankhede Stadium, Mumbai;India;Mumbai Indians;Chennai Super Kings;RHB;RF;pace bowler;6;1;6;TRUE;344;81;2
1175370;2;Kedar Jadhav;290716;Chennai Super Kings;Lasith Malinga;49758;Mumbai Indians;6;four;4;FALSE;;4;03/04/2019;2019;Wankhede Stadium, Mumbai;India;Mumbai Indians;Chennai Super Kings;RHB;RF;pace bowler;4;1;4;TRUE;288;29;1
1175370;2;Kedar Jadhav;290716;Chennai Super Kings;Lasith Malinga;49758;Mumbai Indians;1;four;4;FALSE;;16;03/04/2019;2019;Wankhede Stadium, Mumbai;India;Mumbai Indians;Chennai Super Kings;RHB;RF;pace bowler;4;1;4;TRUE;148;2;8
1175370;2;Kedar Jadhav;290716;Chennai Super Kings;Lasith Malinga;49758;Mumbai Indians;2;four;4;FALSE;;16;03/04/2019;2019;Wankhede Stadium, Mumbai;India;Mumbai Indians;Chennai Super Kings;RHB;RF;pace bowler;4;1;4;TRUE;287;39;1
1181764;1;MS Dhoni;28081;Chennai Super Kings;Lasith Malinga;49758;Mumbai Indians;3;six;6;FALSE;;19;07/05/2019;2019;MA Chidambaram Stadium, Chepauk, Chennai;India;Mumbai Indians;Chennai Super Kings;RHB;RF;pace bowler;6;1;6;TRUE;221;361;4
